    0.100, 0.5992, 0.5005,  4.03698,  4.06221,    20.00,  24.85,   0.50, 
    0.110, 0.5991, 0.5005,  4.03676,  4.06216,    20.00,  24.85,   0.51, 
    0.122, 0.5990, 0.5006,  4.03652,  4.06211,    20.00,  24.85,   0.51, 
    0.134, 0.5989, 0.5007,  4.03627,  4.06205,    20.00,  24.85,   0.52, 
    0.148, 0.5988, 0.5007,  4.03601,  4.06199,    20.00,  24.85,   0.52, 
    0.163, 0.5986, 0.5008,  4.03573,  4.06192,    20.00,  24.85,   0.52, 
    0.180, 0.5985, 0.5009,  4.03544,  4.06184,    20.00,  24.85,   0.53, 
    0.198, 0.5984, 0.5010,  4.03513,  4.06176,    20.00,  24.85,   0.53, 
    0.218, 0.5982, 0.5011,  4.03480,  4.06167,    20.00,  24.85,   0.54, 
    0.240, 0.5980, 0.5012,  4.03445,  4.06157,    20.00,  24.85,   0.54, 
    0.264, 0.5978, 0.5013,  4.03409,  4.06146,    20.00,  24.85,   0.55, 
    0.291, 0.5976, 0.5014,  4.03371,  4.06134,    20.00,  24.85,   0.55, 
    0.320, 0.5973, 0.5016,  4.03330,  4.06120,    20.00,  24.85,   0.56, 
    0.353, 0.5971, 0.5017,  4.03288,  4.06106,    20.00,  24.85,   0.56, 
    0.388, 0.5968, 0.5019,  4.03244,  4.06090,    20.00,  24.85,   0.57, 
    0.427, 0.5965, 0.5021,  4.03198,  4.06072,    20.00,  24.85,   0.57, 
    0.470, 0.5961, 0.5023,  4.03149,  4.06053,    20.00,  24.85,   0.58, 
    0.518, 0.5957, 0.5025,  4.03099,  4.06032,    20.00,  24.85,   0.59, 
    0.570, 0.5953, 0.5028,  4.03046,  4.06009,    20.00,  24.85,   0.59, 
    0.627, 0.5948, 0.5030,  4.02991,  4.05984,    20.00,  24.85,   0.60, 
    0.690, 0.5943, 0.5034,  4.02934,  4.05956,    20.00,  24.85,   0.60, 
    0.760, 0.5937, 0.5037,  4.02874,  4.05926,    20.00,  24.85,   0.61, 
    0.836, 0.5931, 0.5041,  4.02811,  4.05893,    20.00,  24.85,   0.61, 
    0.920, 0.5924, 0.5045,  4.02745,  4.05857,    20.00,  24.85,   0.62, 
    1.012, 0.5916, 0.5049,  4.02676,  4.05818,    20.00,  24.85,   0.63, 
    1.113, 0.5908, 0.5054,  4.02602,  4.05775,    20.00,  24.85,   0.63, 
    1.225, 0.5898, 0.5059,  4.02524,  4.05729,    20.00,  24.85,   0.64, 
    1.348, 0.5888, 0.5065,  4.02440,  4.05678,    20.00,  24.85,   0.64, 
    1.483, 0.5877, 0.5072,  4.02349,  4.05623,    20.00,  24.85,   0.65, 
    1.632, 0.5865, 0.5079,  4.02248,  4.05562,    20.00,  24.85,   0.66, 
    1.795, 0.5851, 0.5087,  4.02134,  4.05496,    20.00,  24.85,   0.67, 
    1.975, 0.5836, 0.5096,  4.02004,  4.05424,    20.00,  24.85,   0.68, 
    2.173, 0.5820, 0.5106,  4.01850,  4.05344,    20.00,  24.85,   0.69, 
    2.390, 0.5802, 0.5116,  4.01665,  4.05254,    20.00,  24.85,   0.71, 
    2.629, 0.5782, 0.5128,  4.01433,  4.05151,    20.00,  24.85,   0.74, 
    2.893, 0.5760, 0.5140,  4.01136,  4.05029,    20.00,  24.85,   0.77, 
    3.182, 0.5736, 0.5155,  4.00746,  4.04878,    20.00,  24.85,   0.82, 
    3.501, 0.5710, 0.5170,  4.00228,  4.04677,    20.00,  24.85,   0.88, 
    3.851, 0.5680, 0.5187,  3.99562,  4.04390,    20.00,  24.85,   0.96, 
    4.237, 0.5648, 0.5206,  3.98785,  4.03958,    20.00,  24.85,   1.03, 
    4.661, 0.5613, 0.5226,  3.98009,  4.03309,    20.00,  24.85,   1.05, 
    5.127, 0.5575, 0.5249,  3.97358,  4.02427,    20.00,  24.85,   1.01, 
    5.640, 0.5532, 0.5274,  3.96869,  4.01460,    20.00,  24.85,   0.92, 
    6.153, 0.5489, 0.5299,  3.96520,  4.00714,    20.00,  24.85,   0.84, 
    6.666, 0.5447, 0.5324,  3.96223,  4.00228,    20.00,  24.85,   0.80, 
    7.179, 0.5404, 0.5349,  3.95923,  3.99912,    20.00,  24.85,   0.80, 
    7.692, 0.5362, 0.5374,  3.95590,  3.99671,    20.00,  24.85,   0.81, 
    8.205, 0.5319, 0.5398,  3.95205,  3.99443,    20.00,  24.85,   0.84, 
    8.718, 0.5277, 0.5423,  3.94755,  3.99188,    20.00,  24.85,   0.88, 
    9.231, 0.5234, 0.5448,  3.94229,  3.98880,    20.00,  24.85,   0.92, 
    9.744, 0.5192, 0.5473,  3.93620,  3.98497,    20.00,  24.85,   0.97, 
   10.257, 0.5149, 0.5498,  3.92924,  3.98024,    20.00,  24.85,   1.02, 
   10.770, 0.5106, 0.5523,  3.92140,  3.97446,    20.00,  24.85,   1.06, 
   11.283, 0.5064, 0.5548,  3.91277,  3.96758,    20.00,  24.85,   1.09, 
   11.796, 0.5021, 0.5573,  3.90353,  3.95959,    20.00,  24.85,   1.12, 
   12.309, 0.4979, 0.5598,  3.89395,  3.95059,    20.00,  24.85,   1.13, 
   12.822, 0.4936, 0.5623,  3.88432,  3.94080,    20.00,  24.85,   1.13, 
   13.335, 0.4894, 0.5648,  3.87499,  3.93051,    20.00,  24.85,   1.11, 
   13.848, 0.4851, 0.5673,  3.86624,  3.92009,    20.00,  24.85,   1.07, 
   14.361, 0.4808, 0.5697,  3.85827,  3.90991,    20.00,  24.85,   1.03, 
   14.874, 0.4766, 0.5722,  3.85123,  3.90032,    20.00,  24.85,   0.98, 
   15.387, 0.4723, 0.5747,  3.84512,  3.89156,    20.00,  24.85,   0.93, 
   15.900, 0.4681, 0.5772,  3.83991,  3.88380,    20.00,  24.85,   0.88, 
   16.413, 0.4638, 0.5797,  3.83549,  3.87707,    20.00,  24.85,   0.83, 
   16.926, 0.4596, 0.5822,  3.83174,  3.87133,    20.00,  24.85,   0.79, 
   17.439, 0.4553, 0.5847,  3.82853,  3.86648,    20.00,  24.85,   0.76, 
   17.952, 0.4511, 0.5872,  3.82573,  3.86239,    20.00,  24.85,   0.73, 
   18.465, 0.4468, 0.5897,  3.82323,  3.85892,    20.00,  24.85,   0.71, 
   18.978, 0.4425, 0.5922,  3.82094,  3.85591,    20.00,  24.85,   0.69, 
   19.491, 0.4383, 0.5947,  3.81878,  3.85326,    20.00,  24.85,   0.68, 
   20.004, 0.4340, 0.5971,  3.81667,  3.85083,    20.00,  24.85,   0.68, 
   20.517, 0.4298, 0.5996,  3.81455,  3.84856,    20.00,  24.85,   0.67, 
   21.030, 0.4255, 0.6021,  3.81239,  3.84638,    20.00,  24.85,   0.67, 
   21.543, 0.4213, 0.6046,  3.81016,  3.84422,    20.00,  24.85,   0.67, 
   22.056, 0.4170, 0.6071,  3.80786,  3.84205,    20.00,  24.85,   0.68, 
   22.569, 0.4127, 0.6096,  3.80548,  3.83984,    20.00,  24.85,   0.68, 
   23.082, 0.4085, 0.6121,  3.80301,  3.83758,    20.00,  24.85,   0.69, 
   23.595, 0.4042, 0.6146,  3.80047,  3.83526,    20.00,  24.85,   0.69, 
   24.108, 0.4000, 0.6171,  3.79785,  3.83287,    20.00,  24.85,   0.70, 
   24.621, 0.3957, 0.6196,  3.79515,  3.83040,    20.00,  24.85,   0.71, 
   25.134, 0.3915, 0.6221,  3.79239,  3.82788,    20.00,  24.85,   0.71, 
   25.647, 0.3872, 0.6246,  3.78956,  3.82529,    20.00,  24.85,   0.72, 
   26.160, 0.3830, 0.6270,  3.78669,  3.82265,    20.00,  24.85,   0.72, 
   26.673, 0.3787, 0.6295,  3.78377,  3.81996,    20.00,  24.85,   0.73, 
   27.186, 0.3744, 0.6320,  3.78081,  3.81724,    20.00,  24.85,   0.74, 
   27.699, 0.3702, 0.6345,  3.77782,  3.81449,    20.00,  24.85,   0.74, 
   28.212, 0.3659, 0.6370,  3.77481,  3.81172,    20.00,  24.85,   0.75, 
   28.725, 0.3617, 0.6395,  3.77179,  3.80895,    20.00,  24.85,   0.75, 
   29.238, 0.3574, 0.6420,  3.76875,  3.80617,    20.00,  24.85,   0.76, 
   29.751, 0.3532, 0.6445,  3.76571,  3.80339,    20.00,  24.85,   0.76, 
   30.264, 0.3489, 0.6470,  3.76268,  3.80063,    20.00,  24.85,   0.76, 
   30.777, 0.3446, 0.6495,  3.75965,  3.79789,    20.00,  24.85,   0.77, 
   31.290, 0.3404, 0.6520,  3.75664,  3.79517,    20.00,  24.85,   0.77, 
   31.803, 0.3361, 0.6544,  3.75364,  3.79247,    20.00,  24.85,   0.78, 
   32.316, 0.3319, 0.6569,  3.75066,  3.78981,    20.00,  24.85,   0.78, 
   32.829, 0.3276, 0.6594,  3.74771,  3.78718,    20.00,  24.85,   0.79, 
   33.342, 0.3234, 0.6619,  3.74479,  3.78458,    20.00,  24.85,   0.79, 
   33.855, 0.3191, 0.6644,  3.74189,  3.78201,    20.00,  24.85,   0.79, 
   34.368, 0.3149, 0.6669,  3.73903,  3.77947,    20.00,  24.85,   0.80, 
   34.881, 0.3106, 0.6694,  3.73620,  3.77696,    20.00,  24.85,   0.80, 
   35.394, 0.3063, 0.6719,  3.73341,  3.77446,    20.00,  24.85,   0.81, 
   35.907, 0.3021, 0.6744,  3.73065,  3.77198,    20.00,  24.85,   0.81, 
   36.420, 0.2978, 0.6769,  3.72793,  3.76951,    20.00,  24.85,   0.82, 
   36.933, 0.2936, 0.6794,  3.72524,  3.76704,    20.00,  24.85,   0.82, 
   37.446, 0.2893, 0.6819,  3.72257,  3.76456,    20.00,  24.85,   0.83, 
   37.959, 0.2851, 0.6843,  3.71992,  3.76206,    20.00,  24.85,   0.83, 
   38.472, 0.2808, 0.6868,  3.71724,  3.75954,    20.00,  24.85,   0.84, 
   38.985, 0.2765, 0.6893,  3.71450,  3.75698,    20.00,  24.85,   0.85, 
   39.498, 0.2723, 0.6918,  3.71167,  3.75438,    20.00,  24.85,   0.85, 
   40.011, 0.2680, 0.6943,  3.70874,  3.75174,    20.00,  24.85,   0.86, 
   40.524, 0.2638, 0.6968,  3.70570,  3.74903,    20.00,  24.85,   0.87, 
   41.037, 0.2595, 0.6993,  3.70256,  3.74627,    20.00,  24.85,   0.88, 
   41.550, 0.2553, 0.7018,  3.69932,  3.74344,    20.00,  24.85,   0.89, 
   42.063, 0.2510, 0.7043,  3.69599,  3.74054,    20.00,  24.85,   0.90, 
   42.576, 0.2468, 0.7068,  3.69257,  3.73756,    20.00,  24.85,   0.91, 
   43.089, 0.2425, 0.7093,  3.68908,  3.73452,    20.00,  24.85,   0.92, 
   43.602, 0.2382, 0.7118,  3.68552,  3.73139,    20.00,  24.85,   0.93, 
   44.115, 0.2340, 0.7142,  3.68190,  3.72820,    20.00,  24.85,   0.94, 
   44.628, 0.2297, 0.7167,  3.67823,  3.72493,    20.00,  24.85,   0.95, 
   45.141, 0.2255, 0.7192,  3.67451,  3.72160,    20.00,  24.85,   0.95, 
   45.654, 0.2212, 0.7217,  3.67076,  3.71820,    20.00,  24.85,   0.96, 
   46.167, 0.2170, 0.7242,  3.66699,  3.71475,    20.00,  24.85,   0.96, 
   46.680, 0.2127, 0.7267,  3.66320,  3.71124,    20.00,  24.85,   0.97, 
   47.193, 0.2084, 0.7292,  3.65940,  3.70769,    20.00,  24.85,   0.97, 
   47.706, 0.2042, 0.7317,  3.65559,  3.70410,    20.00,  24.85,   0.98, 
   48.219, 0.1999, 0.7342,  3.65178,  3.70048,    20.00,  24.85,   0.98, 
   48.732, 0.1957, 0.7367,  3.64798,  3.69683,    20.00,  24.85,   0.98, 
   49.245, 0.1914, 0.7392,  3.64418,  3.69317,    20.00,  24.85,   0.98, 
   49.758, 0.1872, 0.7416,  3.64038,  3.68949,    20.00,  24.85,   0.99, 
   50.271, 0.1829, 0.7441,  3.63657,  3.68582,    20.00,  24.85,   0.99, 
   50.784, 0.1787, 0.7466,  3.63275,  3.68214,    20.00,  24.85,   0.99, 
   51.297, 0.1744, 0.7491,  3.62889,  3.67847,    20.00,  24.85,   0.99, 
   51.810, 0.1701, 0.7516,  3.62499,  3.67481,    20.00,  24.85,   1.00, 
   52.323, 0.1659, 0.7541,  3.62103,  3.67116,    20.00,  24.85,   1.01, 
   52.836, 0.1616, 0.7566,  3.61701,  3.66750,    20.00,  24.85,   1.01, 
   53.349, 0.1574, 0.7591,  3.61298,  3.66384,    20.00,  24.85,   1.02, 
   53.862, 0.1531, 0.7616,  3.60902,  3.66016,    20.00,  24.85,   1.02, 
   54.375, 0.1489, 0.7641,  3.60525,  3.65644,    20.00,  24.85,   1.02, 
   54.888, 0.1446, 0.7666,  3.60186,  3.65266,    20.00,  24.85,   1.01, 
   55.401, 0.1403, 0.7691,  3.59902,  3.64881,    20.00,  24.85,   0.99, 
   55.914, 0.1361, 0.7715,  3.59679,  3.64489,    20.00,  24.85,   0.95, 
   56.427, 0.1318, 0.7740,  3.59490,  3.64096,    20.00,  24.85,   0.90, 
   56.940, 0.1276, 0.7765,  3.59315,  3.63710,    20.00,  24.85,   0.86, 
   57.453, 0.1233, 0.7790,  3.59149,  3.63344,    20.00,  24.85,   0.83, 
   57.966, 0.1191, 0.7815,  3.58987,  3.63015,    20.00,  24.85,   0.81, 
   58.479, 0.1148, 0.7840,  3.58829,  3.62732,    20.00,  24.85,   0.79, 
   58.992, 0.1106, 0.7865,  3.58674,  3.62502,    20.00,  24.85,   0.78, 
   59.505, 0.1063, 0.7890,  3.58520,  3.62321,    20.00,  24.85,   0.78, 
   60.000, 0.1022, 0.7914,  3.58370,  3.62185,    20.00,  24.85,   0.78, 

            mass  =  0.8166 kg/m2
 specific energy segment =    92.47 W-h/kg
 specific power segment  =    92.47 W/kg
 total heat =          0.8568 W-h/m2
  
